date,count,Long,Lat,place,remarks,user
2021/8/4,42,33.6613134,130.4042472,アイランドシティコンテナターミナル,バーナーでの焼却及び殺虫剤による駆除,港湾空港局港営課
2021/9/9,34,33.6605554,130.4146988,アイランドシティコンテナターミナル,バーナーでの焼却及び殺虫剤による駆除,港湾空港局港営課
2021/10/7,20,33.6625809,130.4070743,アイランドシティコンテナターミナル,バーナーでの焼却及び殺虫剤による駆除,港湾空港局港営課
2021/11/1,6,33.6605554,130.4146988,アイランドシティコンテナターミナル,バーナーでの焼却及び殺虫剤による駆除,港湾空港局港営課
2021/5/25,26,33.6605554,130.4146988,アイランドシティコンテナターミナル内,殺虫剤及び踏み潰して駆除,港湾空港局港営課
2021/6/25,16,33.6605554,130.4146988,アイランドシティコンテナターミナル内,殺虫剤及び踏み潰して駆除,港湾空港局港営課
2021/10/12,9,33.6647404,130.4204315,アイランドシティポンプ場,殺虫剤で駆除,道路下水道局 和白水処理センター
2021/7/29,6,33.6647404,130.4204315,アイランドシティポンプ場,殺虫剤で駆除,道路下水道局 和白水処理センター
2021/4/27,5,33.6647404,130.4204315,アイランドシティ外周緑地,バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/5/26,4,33.6647404,130.4204315,アイランドシティ外周緑地,バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/6/29,4,33.6647404,130.4204315,アイランドシティ外周緑地,バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/7/26,9,33.6647404,130.4204315,アイランドシティ外周緑地,バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/8/6,68,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/8/12,67,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/8/20,31,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/8/27,85,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/9/7,80,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/9/10,55,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/9/17,17,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/9/24,74,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/10/1,93,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/10/8,75,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/4/2,13,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/4/9,8,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/4/16,18,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/4/23,16,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/4/30,18,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/5/7,10,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/5/14,6,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/5/21,14,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/5/28,6,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/6/4,4,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/6/11,7,33.6647404,130.4204315,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/6/18,12,33.663838,130.4165445,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/6/25,25,33.663838,130.4165445,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/7/2,19,33.663838,130.4165445,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/7/9,24,33.663838,130.4165445,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/7/16,27,33.663838,130.4165445,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/7/30,82,33.663838,130.4165445,アイランドシティ中央公園,殺虫剤及び踏み潰して駆除,住宅都市局みどり運営課
2021/11/29,140,33.650314,130.4394568,なみきスクエア,殺虫剤で駆除,東区生涯学習推進課
2021/8/29,0,33.6073062,130.4020992,ベスト電器スタジアム,,住宅都市局みどり運営課
2021/9/16,0,33.6073062,130.4020992,ベスト電器スタジアム,,住宅都市局みどり運営課
2021/10/20,0,33.6073062,130.4020992,ベスト電器スタジアム,,住宅都市局みどり運営課
2021/11/18,0,33.6073062,130.4020992,ベスト電器スタジアム,,住宅都市局みどり運営課
2021/4/21,0,33.6073062,130.4020992,ベスト電器スタジアム,,住宅都市局みどり運営課
2021/5/19,0,33.6073062,130.4020992,ベスト電器スタジアム,,住宅都市局みどり運営課
2021/6/21,0,33.6073062,130.4020992,ベスト電器スタジアム,,住宅都市局みどり運営課
2021/6/21,0,33.6073062,130.4020992,ベスト電器スタジアム,,住宅都市局みどり運営課
2021/7/22,0,33.5860986,130.4600672,ベスト電器スタジアム,,住宅都市局みどり運営課
2021/7/22,0,33.5860986,130.4600672,ベスト電器スタジアム,,住宅都市局みどり運営課
2021/8/25,4,33.5860986,130.4600672,マリンメッセ福岡,殺虫剤で駆除,経済観光文化局 MICE推進課
2021/8/30,0,33.5860986,130.4600672,マリンメッセ福岡,,経済観光文化局 MICE推進課
2021/9/19,4,33.5860986,130.4600672,マリンメッセ福岡,殺虫剤で駆除,経済観光文化局 MICE推進課
2021/9/30,0,33.5860986,130.4600672,マリンメッセ福岡,,経済観光文化局 MICE推進課
2021/10/25,5,33.5860986,130.4600672,マリンメッセ福岡,殺虫剤で駆除,経済観光文化局 MICE推進課
2021/10/31,0,33.5860986,130.4600672,マリンメッセ福岡,,経済観光文化局 MICE推進課
2021/11/25,1,33.5860986,130.4600672,マリンメッセ福岡,殺虫剤で駆除,経済観光文化局 MICE推進課
2021/11/30,0,33.5860986,130.4600672,マリンメッセ福岡,,経済観光文化局 MICE推進課
2021/9/10,2,33.6454661,130.4761367,みどりが丘公園,バーナーでの焼却及び殺虫剤による駆除,東区維持管理課
2021/4/13,0,33.6454661,130.4761367,みどりが丘公園,,東区維持管理課
2021/4/27,112,33.6510851,130.4182435,みなと100年公園,バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/5/26,117,33.6510851,130.4182435,みなと100年公園,バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/6/29,102,33.6510851,130.4182435,みなと100年公園,バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/7/26,126,33.6510851,130.4182435,みなと100年公園,バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/8/27,114,33.6619803,130.425268,"みなと100年公園
アイランドシティ外周緑地",バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/9/25,100,33.6619803,130.425268,"みなと100年公園
アイランドシティ外周緑地",バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/10/28,108,33.6619803,130.425268,"みなと100年公園
アイランドシティ外周緑地",バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/11/27,76,33.6619803,130.425268,"みなと100年公園
アイランドシティ外周緑地",バーナーでの焼却及び殺虫剤による駆除,港湾空港局維持課
2021/11/25,0,33.595701,130.4331133,榎田自転車保管所,,"博多区
自転車対策・生活環境課"
2021/5/22,0,33.6001483,130.4375565,榎田中央公園,,博多区維持管理課
2021/10/7,10,33.6876344,130.4223821,塩浜ポンプ場,殺虫剤で駆除,道路下水道局 和白水処理センター
2021/7/19,7,33.6876344,130.4223821,塩浜ポンプ場,殺虫剤で駆除,道路下水道局 和白水処理センター
2021/9/27,0,33.5258674,130.3871623,下月隈公園,,博多区維持管理課
2021/4/27,0,33.5755236,130.4638861,下月隈公園,,博多区維持管理課
2021/11/12,0,33.5755236,130.4638861,花畑園芸公園,,農林水産局農業振興課
2021/8/6,14,33.6604769,130.3522402,海の中道青少年海の家,殺虫剤で駆除,こども未来局 こども健全育成課
2021/11/18,6,33.6322215,130.4256462,貝塚駅,殺虫剤で駆除,交通局姪浜保守事務所
2021/11/19,0,33.6322215,130.4256462,貝塚駅,,交通局施設課
2021/11/19,0,33.6322215,130.4256462,貝塚駅,,交通局駅務サービス課
2021/11/22,0,33.6322215,130.4256462,貝塚駅,,交通局姪浜保守事務所
2021/11/12,0,33.6331581,130.4242185,貝塚公園,,東区維持管理課
2021/4/12,0,33.6331581,130.4242185,貝塚公園,,東区維持管理課
2021/5/14,6,33.6257189,130.4202647,貝塚駐車場,市民，職員が駆除,東区生活環境課
2021/4/1,2,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/4/7,9,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/4/8,12,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/4/14,2,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/4/15,49,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/4/21,4,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/4/22,2,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/4/28,11,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/5/6,5,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/5/12,1,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/5/13,20,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/5/19,8,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/5/20,1,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/5/26,20,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/5/27,4,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/6/2,3,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/6/3,8,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/6/9,4,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/6/10,2,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/6/16,45,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/6/17,29,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/6/23,3,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/6/24,81,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/6/30,36,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/7/1,9,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/7/7,425,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/7/8,68,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/7/14,22,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/7/15,158,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/7/21,140,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/7/28,41,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/7/29,569,33.6799272,130.3993691,雁の巣レクリエーションセンター,殺虫剤で駆除,住宅都市局みどり運営課
2021/4/19,0,33.6589782,130.4802193,久山グラウンドゴルフ場,,環境局クリーンパーク・東部
2021/5/17,2,33.6589782,130.4802193,久山グラウンドゴルフ場,殺虫剤で駆除,環境局クリーンパーク・東部
2021/6/7,0,33.6589782,130.4802193,久山グラウンドゴルフ場,,環境局クリーンパーク・東部
2021/6/21,0,33.6589782,130.4802193,久山グラウンドゴルフ場,,環境局クリーンパーク・東部
2021/7/5,0,33.6589782,130.4802193,久山グラウンドゴルフ場,,環境局クリーンパーク・東部
2021/7/19,0,33.6589782,130.4802193,久山グラウンドゴルフ場,,環境局クリーンパーク・東部
2021/5/27,1,33.6216262,130.4497231,宮ノ下橋,職員が駆除,東区生活環境課
2021/4/16,0,33.6548991,130.4529061,宮の台中央公園,,東区維持管理課
2021/9/27,0,33.5744843,130.4691367,月隈公園,,博多区維持管理課
2021/4/27,0,33.5744843,130.4691367,月隈公園,,博多区維持管理課
2021/11/12,0,33.5805678,130.2673689,原田南公園,,東区維持管理課
2021/4/12,0,33.6147552,130.4355567,原田南公園,,東区維持管理課
2021/11/15,0,33.6147552,130.4355567,玄洋小運動場,,"玄洋小学校
教育委員会健康教育課"
2021/11/24,55,33.6700486,130.4356761,港湾空港局庁舎,殺虫剤で駆除,港湾空港局維持課
2021/11/24,0,33.6578647,130.4502006,香住丘公民館,,東区地域支援課
2021/9/3,3,33.6578647,130.4502006,香椎11号公園,バーナーでの焼却及び殺虫剤による駆除,東区維持管理課
2021/4/17,2,33.6093701,130.4013669,香椎11号公園,殺虫剤及び踏み潰して駆除,東区維持管理課
2021/4/17,0,33.6469135,130.4477337,香椎12号公園,,東区維持管理課
2021/11/28,0,33.6469135,130.4477337,香椎ヶ丘2号公園,,東区維持管理課
2021/4/12,0,33.648569,130.4550545,香椎ヶ丘2号公園,,東区維持管理課
2021/8/4,82,33.6509762,130.4090054,香椎パークポートコンテナターミナル,バーナーでの焼却及び殺虫剤による駆除,港湾空港局港営課
2021/9/9,31,33.6509762,130.4090054,香椎パークポートコンテナターミナル,バーナーでの焼却及び殺虫剤による駆除,港湾空港局港営課
2021/10/7,20,33.6509762,130.4090054,香椎パークポートコンテナターミナル,バーナーでの焼却及び殺虫剤による駆除,港湾空港局港営課
2021/11/1,12,33.6509762,130.4090054,香椎パークポートコンテナターミナル,バーナーでの焼却及び殺虫剤による駆除,港湾空港局港営課
2021/5/25,17,33.6509762,130.4090054,香椎パークポートコンテナターミナル内,殺虫剤及び踏み潰して駆除,港湾空港局港営課
2021/6/25,27,33.6509762,130.4090054,香椎パークポートコンテナターミナル内,殺虫剤及び踏み潰して駆除,港湾空港局港営課
2021/4/17,0,33.6651729,130.4412874,香椎駅前2号公園,,東区維持管理課
2021/10/7,25,33.6597809,130.4399344,香椎駅前西公園,バーナーでの焼却及び殺虫剤による駆除,東区維持管理課
2021/4/17,1,33.6597809,130.4399344,香椎駅前西公園,殺虫剤及び踏み潰して駆除,東区維持管理課
2021/4/16,0,33.6582584,130.4445504,香椎駅東公園,,東区維持管理課
2021/11/21,0,33.6708314,130.4558105,香椎下原公民館,,東区地域支援課
2021/6/21,1,33.6615099,130.4358373,香椎海岸遊歩道,市民が駆除,東区生活環境課
2021/11/15,0,33.6596539,130.4405338,香椎公民館,,東区地域支援課
2021/7/28,0,33.6641604,130.4271189,香椎照葉1号公園,,東区維持管理課
2021/7/28,0,33.6641604,130.4271189,香椎照葉1号公園,,東区維持管理課
2021/7/14,251,33.6672468,130.4185207,香椎照葉の市道,殺虫剤で駆除,東区生活環境課
2021/4/13,7,33.6553407,130.4583367,香椎台おいの山公園,殺虫剤及び踏み潰して駆除,東区維持管理課
2021/11/19,0,33.6518735,130.4541591,香椎東公民館,,東区地域支援課
2021/11/29,0,33.6526261,130.4563827,香椎東小学校,,"香椎東小学校
教育委員会健康教育課"
2021/9/10,2,33.6536916,130.4207071,香椎浜公園,殺虫剤で駆除,東区維持管理課
2021/4/12,4,33.6536916,130.4207071,香椎浜公園,殺虫剤で駆除,東区維持管理課
2021/11/30,0,33.6543213,130.4261437,香椎浜公民館,,東区地域支援課
2021/10/21,15,33.6568933,130.4344424,香椎浜東公園,バーナーでの焼却及び殺虫剤による駆除,東区維持管理課
2021/4/16,0,33.6568933,130.4344424,香椎浜東公園,,東区維持管理課
2021/10/21,7,33.6532131,130.4318952,香椎浜南公園,バーナーでの焼却及び殺虫剤による駆除,東区維持管理課
2021/4/16,0,33.6532131,130.4318952,香椎浜南公園,,東区維持管理課
2021/11/30,30,33.658508,130.429956,香椎浜北公園,バーナーでの焼却及び殺虫剤による駆除,東区維持管理課
2021/4/12,0,33.658508,130.429956,香椎浜北公園,,東区維持管理課
2021/11/26,0,33.6541017,130.432333,香陵公民館,,東区地域支援課
2021/11/12,0,33.6554714,130.4334076,香陵小学校,,"香陵小学校
教育委員会健康教育課"
2021/7/12,2,33.6874449,130.4415062,高見ヶ丘市営住宅,市民が駆除,東区生活環境課
2021/7/19,2,33.6874449,130.4415062,高見丘市営住宅,市民が駆除,東区生活環境課
2021/11/16,0,33.6874449,130.4415062,高木小学校,,"高木小学校
教育委員会健康教育課"
2021/11/17,55,33.6874449,130.4415062,国営海の中道海浜公園,殺虫剤で駆除,国土交通省 九州地方整備局
2021/11/18,0,33.5562891,130.4359425,今津リフレッシュ農園,,農林水産局農業振興課
2021/4/27,40,33.6611388,130.354193,今津運動公園,殺虫剤で駆除,住宅都市局みどり運営課
2021/5/25,48,33.6017833,130.2468955,今津運動公園,殺虫剤で駆除,住宅都市局みどり運営課
2021/6/22,57,33.6066519,130.2501246,今津運動公園,殺虫剤で駆除,住宅都市局みどり運営課
2021/11/25,0,33.6066519,130.2501246,笹原駅東自転車保管所,,"博多区
自転車対策・生活環境課"
2021/11/14,0,33.6066519,130.2501246,三苫公民館,,東区地域支援課
2021/7/13,1,33.5527566,130.4495043,三苫小学校,職員が駆除,東区生活環境課
2021/5/22,0,33.6993398,130.4186399,山王公園,,博多区維持管理課
2021/11/1,72,33.7058313,130.4209689,市営塩浜住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/7/28,113,33.5823244,130.4319947,市営塩浜住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/11/2,33,33.6902752,130.4207354,市営月隈住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/4/17,1,33.6902752,130.4207354,市営六高住宅,委託業者が駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/8/28,62,33.5774278,130.4732801,市営香椎浜三街区住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/5/12,2,33.5774278,130.4732801,市営香椎浜団地内,市民が駆除,東区生活環境課
2021/7/30,92,33.6102039,130.4294461,市営高見丘住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/11/4,43,33.6544927,130.4250071,市営高美ヶ丘住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/10/29,55,33.6534633,130.4238326,市営若宮住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
2021/7/26,180,33.6447497,130.4418052,市営若宮住宅,バーナーでの焼却及び殺虫剤による駆除,"住宅都市局住宅管理課
（住宅供給公社保全課）"
