date,count,Loc,Lat,iConf ,iLiv
2021/8/4,42,130.40640,33.66068,5,7
2021/9/9,34,130.40640,33.66068,5,7
2021/10/7,20,130.40640,33.66068,5,7
2021/11/1,6,130.40640,33.66068,5,7
2021/10/12,9,130.41731,33.66279,5,7
2021/8/6,68,130.42134,33.66379,5,7
2021/8/12,67,130.42094,33.66705,5,7
2021/8/20,31,130.41957,33.66647,5,7
2021/8/27,85,130.41818,33.66589,5,7
2021/9/7,80,130.42033,33.66507,5,6
2021/9/10,55,130.42033,33.66507,5,6
2021/9/17,17,130.42033,33.66507,5,6
2021/9/24,74,130.42033,33.66507,5,6
2021/10/1,93,130.42033,33.66507,5,6
2021/10/8,75,130.42033,33.66507,5,6
2021/11/29,140,130.43834,33.64931,5,7
2021/9/10,2,130.47615,33.64528,5,7
2021/8/27,114,130.41917,33.65066,5,7
2021/9/25,100,130.42236,33.65507,5,7
2021/10/28,108,130.42459,33.65818,5,7
2021/11/27,76,130.42220,33.65430,5,6
